@relation dataset

@attribute x1 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x2 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x3 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x4 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x5 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x6 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x7 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x8 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x9 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x10 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x11 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x12 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x13 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x14 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x15 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x16 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x17 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x18 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x19 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute x20 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}


@data
9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9
9,9,9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,3,9,3,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9
9,9,9,9,6,9,9,9,9,9,9,9,9,9,3,3,9,4,9,9
9,9,9,9,6,9,9,9,9,9,9,9,9,9,5,3,9,4,9,9
9,9,9,9,6,9,9,9,9,9,9,9,9,9,4,3,9,4,9,9
9,9,9,9,6,9,9,9,9,9,9,9,9,9,3,3,9,4,9,9
9,9,9,9,9,9,6,9,9,9,9,9,9,9,5,9,9,9,9,9
9,9,9,9,9,9,5,9,9,9,9,9,9,9,5,9,9,9,9,9
9,9,9,9,9,9,5,9,9,9,9,9,9,9,5,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9,9
9,9,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9
4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,3,9,9,4,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,3,9,9,0,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,3,9,9,3,9,9,9,9,9
9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9
9,3,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9
9,3,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9
9,4,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9
9,4,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9
9,9,9,9,9,9,1,9,9,9,9,9,9,4,9,9,9,9,9,9
9,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9
9,9,9,9,9,9,9,9,7,9,9,9,9,9,4,9,9,4,9,9
9,9,9,9,9,9,9,9,7,9,9,9,9,9,4,9,9,4,9,9
9,9,9,9,9,9,9,9,7,9,9,9,9,9,0,9,9,4,9,9
9,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,9,9,9
